Inp_item_1,Inp_item_2,Inp_item_3,Inp_item_4,Inp_item_5,Inp_item_6,Inp_item_7,Inp_item_8,Inp_item_9
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
5000431027169,,,,,,,,
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
8710732226907,5010891011868,5015552000151,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
8710732226907,5010891011868,5015552000151,,,,,,
5000431027169,,,,,,,,
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
8710732226907,5010891011868,5015552000151,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5000431027169,,,,,,,,
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
8710732226907,5010891011868,5015552000151,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
8710732226907,5010891011868,5015552000151,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5017838815183,5017838815183,5000128725477,5000128725477,5010115926985,,,,
8710732226907,5010891011868,5015552000151,,,,,,
7622300754136,5000128797436,5010718402909,5038862320108,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
5060107333970,5000205039862,5000205034546,5010228013213,8712566328352,4062300011847,5060107331365,5010102240537,5000128889889
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
6191514300312,5000128715331,5000128871457,5000128271165,,,,,
9770307268922,5000128861069,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
9770307268922,5000128861069,,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
7622210286314,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
0000050457243,,,,,,,,
5000128677127,7622210702005,5022313997995,,,,,,
0000050457243,,,,,,,,
